{'mirroring': 4, 'specificity': 4, 'response-relatedness': 5, 'question-asking': 0}
{'mirroring': 4, 'specificity': 4, 'response-relatedness': 5, 'question-asking': 5}
{'mirroring': 4, 'specificity': 4, 'response-relatedness': 5, 'question-asking': 5}
{'mirroring': 4, 'specificity': 4, 'response-relatedness': 5, 'question-asking': 0}
{'mirroring': 3, 'specificity': 3, 'response-relatedness': 4, 'question-asking': 0}
{'mirroring': 1, 'specificity': 2, 'response-relatedness': 4, 'question-asking': 0}
{'mirroring': 2, 'specificity': 2, 'response-relatedness': 3, 'question-asking': 0}
{'mirroring': 3, 'specificity': 4, 'response-relatedness': 5, 'question-asking': 0}
{'mirroring': 2, 'specificity': 3, 'response-relatedness': 5, 'question-asking': 2}
{'mirroring': 1, 'specificity': 1, 'response-relatedness': 2, 'question-asking': 3}
{'mirroring': 4, 'specificity': 4, 'response-relatedness': 5, 'question-asking': 0}
{'mirroring': 4, 'specificity': 4, 'response-relatedness': 5, 'question-asking': 0}
{'mirroring': 3, 'specificity': 5, 'response-relatedness': 5, 'question-asking': 0}
{'mirroring': 3, 'specificity': 4, 'response-relatedness': 5, 'question-asking': 0}
{'mirroring': 4, 'specificity': 5, 'response-relatedness': 5, 'question-asking': 4}
{'mirroring': 5, 'specificity': 5, 'response-relatedness': 5, 'question-asking': 0}
{'mirroring': 1, 'specificity': 5, 'response-relatedness': 5, 'question-asking': 0}
{'mirroring': 4, 'specificity': 4, 'response-relatedness': 5, 'question-asking': 0}
{'mirroring': 3, 'specificity': 3, 'response-relatedness': 5, 'question-asking': 0}
{'mirroring': 5, 'specificity': 5, 'response-relatedness': 5, 'question-asking': 0}
