{'mirroring': 5, 'specificity': 5, 'response-relatedness': 5, 'question-asking': 0}
{'mirroring': 0, 'specificity': 0, 'response-relatedness': 0, 'question-asking': 0}
{'mirroring': 5, 'specificity': 1, 'response-relatedness': 1, 'question-asking': 0}
{'mirroring': 0, 'specificity': 0, 'response-relatedness': 0, 'question-asking': 0}
{'mirroring': 1, 'specificity': 1, 'response-relatedness': 2, 'question-asking': 0}
{'mirroring': 0, 'specificity': 0, 'response-relatedness': 0, 'question-asking': 0}
{'mirroring': 0, 'specificity': 0, 'response-relatedness': 0, 'question-asking': 0}
{'mirroring': 0, 'specificity': 0, 'response-relatedness': 1, 'question-asking': 0}
{'mirroring': 4, 'specificity': 4, 'response-relatedness': 5, 'question-asking': 0}
{'mirroring': 5, 'specificity': 5, 'response-relatedness': 5, 'question-asking': 0}
{'mirroring': 4, 'specificity': 4, 'response-relatedness': 5, 'question-asking': 0}
{'mirroring': 5, 'specificity': 5, 'response-relatedness': 5, 'question-asking': 5}
{'mirroring': 1, 'specificity': 5, 'response-relatedness': 5, 'question-asking': 0}
{'mirroring': 0, 'specificity': 0, 'response-relatedness': 0, 'question-asking': 0}
{'mirroring': 5, 'specificity': 5, 'response-relatedness': 5, 'question-asking': 0}
{'mirroring': 0, 'specificity': 5, 'response-relatedness': 5, 'question-asking': 0}
{'mirroring': 5, 'specificity': 5, 'response-relatedness': 5, 'question-asking': 0}
