,technique,topic,dialog length,average input size,average response time,average total score,mirroring,specificity,response-relatedness,question-asking
0,all,input_27,15,114.06666666666666,5.237807130813598,12,3,3,4,2
1,queue,input_27,15,114.06666666666666,2.711432393391927,13,4,4,4,1
2,block,input_27,15,114.06666666666666,2.8952773888905843,15,4,4,4,3
3,embed,input_27,15,114.06666666666666,2.521933682759603,13,4,4,4,1
4,all,input_28,6,80.83333333333333,2.9200439055760703,13,4,4,4,1
5,queue,input_28,6,80.83333333333333,2.036617875099182,15,4,4,4,3
6,block,input_28,6,80.83333333333333,2.245972474416097,15,4,4,4,3
7,embed,input_28,6,80.83333333333333,2.0036689043045044,15,4,4,4,3
8,all,input_29,13,119.61538461538461,2.7432412000802846,15,5,5,5,0
9,queue,input_29,13,119.61538461538461,1.8387543054727407,19,5,5,5,4
10,block,input_29,13,119.61538461538461,2.236739837206327,19,5,5,5,4
11,embed,input_29,13,119.61538461538461,2.3993029594421387,16,4,4,4,4
12,all,input_3,8,60.25,1.4098361432552338,14,4,4,4,2
13,queue,input_3,8,60.25,1.3122937977313995,11,3,3,4,1
14,block,input_3,8,60.25,1.122148483991623,11,3,3,4,1
15,embed,input_3,8,60.25,1.663002759218216,15,4,4,4,3
16,all,input_30,6,75.33333333333333,1.1598844528198242,15,4,4,4,3
17,queue,input_30,6,75.33333333333333,1.0349510113398235,13,4,4,4,1
18,block,input_30,6,75.33333333333333,1.953968604405721,13,4,4,4,1
19,embed,input_30,6,75.33333333333333,1.5751741329828899,14,4,4,4,2
20,all,input_4,12,61.666666666666664,1.325372298558553,15,4,4,4,3
21,queue,input_4,12,61.666666666666664,1.190442979335785,15,4,4,4,3
22,block,input_4,12,61.666666666666664,1.3617531061172485,14,4,4,4,2
23,embed,input_4,12,61.666666666666664,2.083469351132711,14,3,4,4,3
24,all,input_5,8,53.25,1.389171689748764,15,4,4,4,3
25,queue,input_5,8,53.25,1.2591400742530823,15,4,4,4,3
26,block,input_5,8,53.25,2.0117505490779877,15,4,4,4,3
27,embed,input_5,8,53.25,1.5471964180469513,15,4,4,4,3
28,all,input_6,11,59.63636363636363,2.50415656783364,12,4,4,4,0
29,queue,input_6,11,59.63636363636363,2.749002066525546,8,1,1,5,1
30,block,input_6,11,59.63636363636363,1.3381326848810369,13,3,4,4,2
31,embed,input_6,11,59.63636363636363,1.8272237994454124,15,4,4,4,3
32,all,input_7,8,78.125,1.498897671699524,13,4,4,4,1
33,queue,input_7,8,78.125,1.2201524078845978,13,4,4,4,1
34,block,input_7,8,78.125,1.878326803445816,12,4,4,4,0
35,embed,input_7,8,78.125,1.561838537454605,15,4,4,4,3
36,all,input_8,15,134.06666666666666,3.1704874992370606,16,5,5,5,1
37,queue,input_8,15,134.06666666666666,2.0053197860717775,18,5,5,5,3
38,block,input_8,15,134.06666666666666,2.5403210798899334,20,5,5,5,5
39,embed,input_8,15,134.06666666666666,2.7746955871582033,18,5,5,5,3
40,all,input_9,9,87.88888888888889,2.5353602833218045,18,5,5,5,3
41,queue,input_9,9,87.88888888888889,1.6401272614796956,13,4,4,4,1
42,block,input_9,9,87.88888888888889,2.208059655295478,16,5,5,5,1
43,embed,input_9,9,87.88888888888889,1.972001314163208,15,4,4,4,3
