,technique,topic,dialog length,average input size,average response time,average total score,mirroring,specificity,response-relatedness,question-asking
0,all,input_1,9,48.44444444444444,3.057296541002062,12.666666666666666,3.0,4.222222222222222,5.0,0.4444444444444444
1,queue,input_1,9,48.44444444444444,1.9979862636990018,10.777777777777779,2.7777777777777777,3.5555555555555554,4.444444444444445,0.0
2,block,input_1,9,48.44444444444444,2.4532727665371366,11.88888888888889,3.111111111111111,4.0,4.777777777777778,0.0
3,embed,input_1,9,48.44444444444444,2.0863185458713107,9.444444444444445,2.5555555555555554,2.888888888888889,4.0,0.0
4,all,input_10,7,39.0,1.0637068407876151,10.714285714285714,2.5714285714285716,3.4285714285714284,4.714285714285714,0.0
5,queue,input_10,7,39.0,0.7815589564187186,8.714285714285714,1.8571428571428572,2.4285714285714284,4.428571428571429,0.0
6,block,input_10,7,39.0,1.700841052191598,10.428571428571429,2.0,4.0,4.428571428571429,0.0
7,embed,input_10,7,39.0,2.5367513043539867,11.571428571428571,3.142857142857143,3.5714285714285716,4.857142857142857,0.0
8,all,input_11,5,88.2,1.0663416862487793,13.0,4.0,4.0,5.0,0.0
9,queue,input_11,5,88.2,0.9353474617004395,13.2,4.2,4.0,5.0,0.0
10,block,input_11,5,88.2,1.6321959495544434,13.2,4.0,4.2,5.0,0.0
11,embed,input_11,5,88.2,2.1953964710235594,11.2,3.0,3.4,4.8,0.0
12,all,input_12,7,58.714285714285715,0.9122443539755685,7.285714285714286,1.2857142857142858,1.2857142857142858,2.5714285714285716,2.142857142857143
13,queue,input_12,7,58.714285714285715,0.9546075548444476,12.428571428571429,2.857142857142857,3.2857142857142856,4.857142857142857,1.4285714285714286
14,block,input_12,7,58.714285714285715,0.9521398203713554,12.857142857142858,2.857142857142857,3.5714285714285716,5.0,1.4285714285714286
15,embed,input_12,7,58.714285714285715,1.8271025930132185,9.428571428571429,2.0,2.142857142857143,4.0,1.2857142857142858
16,all,input_13,7,114.0,2.5855258532932828,13.285714285714286,3.857142857142857,4.428571428571429,5.0,0.0
17,queue,input_13,7,114.0,2.5728327887398854,13.857142857142858,4.285714285714286,4.571428571428571,5.0,0.0
18,block,input_13,7,114.0,2.2326630524226596,13.571428571428571,3.4285714285714284,4.142857142857143,5.0,1.0
19,embed,input_13,7,114.0,2.804349286215646,12.714285714285714,3.857142857142857,4.0,4.857142857142857,0.0
20,all,input_14,5,75.2,2.456335115432739,11.2,3.2,4.0,4.0,0.0
21,queue,input_14,5,75.2,2.9868477821350097,11.4,3.4,4.0,4.0,0.0
22,block,input_14,5,75.2,1.768587017059326,13.0,3.4,4.6,5.0,0.0
23,embed,input_14,5,75.2,3.1591509342193604,13.2,3.4,4.8,5.0,0.0
24,all,input_15,2,191.0,0.7418980598449707,16.5,4.5,4.5,5.0,2.5
25,queue,input_15,2,191.0,0.7053983211517334,16.5,4.5,4.5,5.0,2.5
26,block,input_15,2,191.0,0.701553225517273,16.5,4.5,4.5,5.0,2.5
27,embed,input_15,2,191.0,1.7755780220031738,16.5,4.5,4.5,5.0,2.5
28,all,input_16,5,77.2,1.9684638500213623,13.8,4.2,4.4,5.0,0.2
29,queue,input_16,5,77.2,2.6954301834106444,14.2,4.2,5.0,5.0,0.0
30,block,input_16,5,77.2,2.2911807537078857,14.6,4.2,4.4,5.0,1.0
31,embed,input_16,5,77.2,3.0289799213409423,13.6,4.0,4.6,5.0,0.0
32,all,input_17,4,107.75,2.323579490184784,13.5,4.0,4.5,5.0,0.0
33,queue,input_17,4,107.75,1.4621440768241882,13.25,4.0,4.25,5.0,0.0
34,block,input_17,4,107.75,2.336820602416992,13.5,3.75,4.75,5.0,0.0
35,embed,input_17,4,107.75,2.4572344422340393,13.5,4.25,4.25,5.0,0.0
36,all,input_18,7,88.42857142857143,1.9281128134046281,14.428571428571429,3.4285714285714284,4.571428571428571,5.0,1.4285714285714286
37,queue,input_18,7,88.42857142857143,3.037332194192069,14.714285714285714,3.5714285714285716,4.714285714285714,5.0,1.4285714285714286
38,block,input_18,7,88.42857142857143,1.8575448989868164,13.285714285714286,3.2857142857142856,4.428571428571429,4.857142857142857,0.7142857142857143
39,embed,input_18,7,88.42857142857143,3.1751058782849992,13.142857142857142,3.0,4.428571428571429,5.0,0.7142857142857143
40,all,input_19,6,139.33333333333334,2.2810082038243613,14.666666666666666,4.0,4.5,5.0,1.1666666666666667
41,queue,input_19,6,139.33333333333334,2.405150055885315,14.5,3.8333333333333335,4.833333333333333,5.0,0.8333333333333334
42,block,input_19,6,139.33333333333334,3.1020700136820474,14.666666666666666,4.0,4.5,5.0,1.1666666666666667
43,embed,input_19,6,139.33333333333334,3.470035990079244,14.833333333333334,3.6666666666666665,4.333333333333333,5.0,1.8333333333333333
