,technique,topic,dialog length,average input size,average response time,average total score,mirroring,specificity,response-relatedness,question-asking
0,all,input_1,9,48.44444444444444,3.784136904610528,13,3,3,4,3
1,queue,input_1,9,48.44444444444444,1.6767148706648085,11,3,3,4,1
2,block,input_1,9,48.44444444444444,2.1661063035329184,13,4,4,4,1
3,embed,input_1,9,48.44444444444444,1.4270766576131184,15,4,4,4,3
4,all,input_10,13,93.76923076923077,3.3263363654796896,19,5,5,5,4
5,queue,input_10,13,93.76923076923077,2.160432503773616,18,5,5,5,3
6,block,input_10,13,93.76923076923077,2.2867585695706882,19,5,5,5,4
7,embed,input_10,13,93.76923076923077,2.5992689316089335,20,5,5,5,5
8,all,input_11,12,101.16666666666667,2.850987414518992,15,4,4,4,3
9,queue,input_11,12,101.16666666666667,1.876629889011383,16,5,5,5,1
10,block,input_11,12,101.16666666666667,2.146964371204376,15,4,4,4,3
11,embed,input_11,12,101.16666666666667,2.1345419883728027,15,4,4,4,3
12,all,input_12,14,79.57142857142857,2.1700806617736816,16,5,5,5,1
13,queue,input_12,14,79.57142857142857,1.3707949263708932,16,5,5,5,1
14,block,input_12,14,79.57142857142857,1.7039355209895544,16,5,5,5,1
15,embed,input_12,14,79.57142857142857,1.9564729588372367,18,5,5,5,3
16,all,input_13,13,111.84615384615384,3.367311220902663,18,5,5,5,3
17,queue,input_13,13,111.84615384615384,2.2106976692493143,16,4,4,4,4
18,block,input_13,13,111.84615384615384,2.0578658213982215,16,4,4,4,4
19,embed,input_13,13,111.84615384615384,2.231688169332651,15,4,4,4,3
20,all,input_14,20,107.1,2.562204325199127,13,4,4,4,1
21,queue,input_14,20,107.1,2.0848033308982847,15,5,5,5,0
22,block,input_14,20,107.1,2.074707269668579,16,5,5,5,1
23,embed,input_14,20,107.1,2.0283060908317565,16,5,5,5,1
24,all,input_15,15,105.8,2.899638366699219,16,4,4,4,4
25,queue,input_15,15,105.8,1.90721861521403,16,4,4,4,4
26,block,input_15,15,105.8,1.837831401824951,16,4,4,4,4
27,embed,input_15,15,105.8,2.094470151265462,16,4,4,4,4
28,all,input_16,13,110.84615384615384,4.729953050613403,13,3,4,5,1
29,queue,input_16,13,110.84615384615384,2.2134183736947866,18,5,5,5,3
